ID,Expediente Nº,Año,Localidad,Elementos
8841,3471,2010,EPUYEN,1 fotocopiadora
8843,3968,2010,LAS GOLONDRINAS,1 videoproyector
8844,1284,2010,TECKA,1 DVD
8845,1284,2010,TECKA,"1 TV 29"""
8846,4212,2010,ESQUEL,1 maquina braille
8847,2782,2010,TRELEW,1 videoproyector
8848,2782,2010,TRELEW,1 impresora
8852,4653,2010,COMODORO RIVADAVIA,1 freezer
8853,4630,2010,COMODORO RIVADAVIA,1 videoproyector
8854,4621,2010,COMODORO RIVADAVIA,vajilla para 100 pax
8855,2567,2010,RADA TILLY,1 videoproyector
8856,2420,2010,COMODORO RIVADAVIA,"20 colchonetas, 2 bibliotecas, 2 escritorios, 20 sillas, 4 percheros, 2 archivos, 4 sillas giratorias"
8858,4664,2010,COMODORO RIVADAVIA,1 videoproyector
8859,4660,2010,COMODORO RIVADAVIA,1 videoproyector
8864,2071,2010,TRELEW,1 videoproyector
8865,2071,2010,TRELEW,1 camara digital de fotos
8872,3766,2010,GAIMAN,"1 mini pimer, 1 freezer, 1 batidora planetaria, 1 horno pizzero, 1 peladora de papas, 1 freidora automatica, 1 soplete, 1 licuadora, 10 cuchillos, 1 amasadora de mesa, 1 balanza, 1 cortadora de fiambre, 1 anafe 6 horn., 1 picadora de carne"
8880,4515,2010,TRELEW,1 PC
8881,4515,2010,TRELEW,1 impresora multifuncion
8882,2222,2010,TRELEW,2 PC
8883,2222,2010,TRELEW,1 impresora
8886,4369,2010,COMODORO RIVADAVIA,"2 Comunicadores verbales, 8 mouses, 8 switch sensible textura"
8892,3762,2010,TRELEW,"1 microscopio binocular, 1 coagulametro"
8893,3762,2010,TRELEW,1 camara de identificacion Radiografica
8901,4110,2010,GAIMAN,"4 minicomponentes, 4 microfonos"
8941,865,2010,CUSHAMEN,4 PC
8952,4012,2010,TRELEW,1 fax
8953,4012,2010,TRELEW,1 impresora multifuncion
8959,4118,2010,TREVELIN,1 ecografo
8962,4370,2010,GAIMAN," 1 pizarron interactivo de 77"" c/pedestal"
8965,3557,2010,ESQUEL,1 heladera c/freezer
8967,4439,2010,ESQUEL,1 PC
